FZ,C3,CZ,C4,PZ,PO7,OZ,PO8
-0.9198646727318309,-2.9032828944877913,3.2188577395553475,-5.1019068192849035,-4.41553806370466,-8.023023971686195,0.25786262986748393,-5.0942882952734205
-7.603745594097651,68.25559722920266,81.88655535728695,-1.8464045351442644,44.45598211444929,0.7174063814985708,17.627789117561093,-3.2511121204984903
-8.48509762211088,124.88324389219368,152.8282474261101,4.117498542748405,86.73202394480391,9.010458441087573,31.937817254982914,-0.5055562631138731
-6.122516120975975,154.74493793647386,196.19828916690906,9.324581271754804,111.68806057454493,15.518934062708672,40.00896995277126,1.754905860502995
-2.7251535595072647,158.5118272994841,207.38217721879815,12.196017811499145,117.70916816007112,20.33164283950126,42.087264036078615,3.1313325429528627
0.24873216342508087,146.6712297382387,195.71765532158375,12.82389956603591,110.90965042160629,24.108129386573587,40.646645085617905,3.8558905585462044
1.9363249333124672,131.88163501401706,176.04920600162177,11.940436282352833,99.95742531388346,27.049440361972348,38.29835179238949,4.172645801115399
1.9458321951685038,122.55198585067224,160.1883073820475,10.210312898623071,91.32127594371887,28.699437679971634,36.50506724874815,4.098119292302305
0.42248868465629524,121.02011021864952,153.3080800275103,8.188691290679373,87.61898610668523,28.662459302408735,35.66745972324182,3.642990874252442
-2.003342841725952,125.36801029001359,154.96762509305705,6.446184939031401,88.54019097926633,27.399791866305996,35.83021439305413,3.069677632118315
-4.575988912113422,131.9815258695805,161.58121135778973,5.420161719136246,92.31463836030854,26.268195220210888,37.05589426993567,2.8385279424476724
-6.811598187000643,137.34649577905145,168.50912310489807,5.186276183025361,96.72146042993472,26.77187578856488,39.31490241496334,3.339697306988919
-8.559321383672135,139.4033773578087,172.1357933686889,5.554195799897395,100.01330915984515,29.68197720506692,42.35585297790885,4.717667100188564
-9.772816343122356,138.60513953574204,171.9490655439848,6.403075107506245,101.90575538543756,34.6152444294772,45.79344634915259,6.878778979469474
-10.397771843583405,137.65665280271364,170.90139185969215,7.752164079838095,103.73047056937185,40.15893589356219,49.152734038812625,9.518682649517517
-10.575583776419485,139.298727937699,172.74923009687595,9.38115292310876,107.04527775303202,44.337903046829005,51.67231961425324,12.082962589651526
-10.867111846562313,143.5671204309184,178.08147843665415,10.480280266392834,111.6465476967648,45.28310603699656,52.18485932106414,13.816648997226707
-12.08884765077965,147.06466447676786,182.7320115342895,9.901548301159366,114.95077183699286,41.99246185624754,49.523915728263944,14.048420260480642
-14.783371615774186,145.17792878664955,180.38359214681776,6.929903840154203,113.58209833170775,34.88170146711757,43.34157483647289,12.55631456467645
-18.759157017262286,135.50762112932821,167.3275166523645,1.9166658549576885,105.91908287294501,25.737775734908343,34.66458763825922,9.694146577147304
-23.034914606811526,120.00955619631044,145.7908535794353,-3.6949256131615327,93.6758429558076,17.030741464141194,25.71239122324993,6.1932511191086554
-26.128578205406015,104.8715191688676,124.09154553149497,-7.824313250232759,81.7555272642803,11.033422329778809,19.18144801588607,2.8914607072821976
-26.50629703454314,98.61872634051858,114.10460596409715,-8.386594935373163,76.78344098959823,9.24678496570832,17.460350917721826,0.6020245389417518
-23.22098147492266,108.77121348512074,126.60481927524741,-4.141959883111623,84.58404553183449,12.144252360460886,21.828635977888215,-0.037233216314872766
-16.79438488242663,137.01002275375575,164.5520480996648,4.128630512231472,106.50021807036467,18.8614920675485,31.403463440124053,0.9717960183263384
-9.930369518461209,174.31987550820554,216.22997943795988,12.661175663873957,135.5827968789621,26.74694134806069,42.13545716591816,2.3500801587190314
-7.20932710767636,199.97682627786378,253.41899124643908,15.137149837650037,155.64021210335284,31.36619415087683,46.98518906361817,1.420839605503998
-13.288688651134336,187.936810416592,239.68678966042708,5.180237357976707,146.0645548666765,27.706676619946446,38.25310555295071,-4.905009777207405
-30.300252394405877,119.52212360089204,147.77753622462586,-20.02894465551856,91.77615968298457,12.501068311015135,11.496349643969408,-18.32346927041609
-56.08035969492431,-4.440746844279586,-23.014706288698996,-57.30602634116438,-7.007414900673148,-13.576217440103793,-31.221433277198173,-37.67519795366261
